item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
"spare keyswitches (mostly tangerines a few holy pandas, alpacas)",1,keyboards,keyswitches,kmart box 2,,,,,in amazonbasics medium packing cube,
"misc spare keycaps (spacebars, etc)",1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
misc spare keyboard accessories / tools,1,keyboards,keyswitches tools,kmart box 2,,,,"keyswitch puller, keycap puller, stabilisers, lubes, films keyswitch disassembly tool",in amazonbasics medium packing cube,
hdmi cable (1m),1,,,in 4k monitor in bedroom,,,kmart box 2,,in amazonbasics small packing cube,
vga cable,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
UD100 headphone dac,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
3.5mm to RCA (red/white) cable,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
usb c male to female (extension) cable,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
usb a to micro usb cable,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
3.5mm audio (separate input/output) extension cable,1,,headphones,kmart box 2,,,,,in amazonbasics small packing cube,
apple watch charger in 'imac' rubber stand,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
razer deathadder mouse,1,,,kmart box 4,,,,,,yes
apple mac 60w charger and usb cable,1,,,kmart box 2,,,,,in amazonbasics small packing cube,
molex cable,2,,,kmart box 2,,,,"used for PC component power, sometimes hard drives",in amazonbasics small packing cube,
hdmi cable (1.5m),1,,,kmart box 2,,,,,in amazonbasics small packing cube,
tom bihn spare zipper pull bags,5,,,kmart box 2,,,,,in an amazonbasics small packing cube,
ikea small clear container plus lid,3,,,kmart box 2,,,,designed to be hung from the backboard thing that can attach to a wall or desk,in an amazonbasics small packing cube,
bags of spare screws,3,,,kmart box 2,,,,,in an amazonbasics small packing cube,
colourful screwdriver star thing,1,,,kmart box 2,,,,jane maher gave me this,in an amazonbasics small packing cube,
apple silicon iphone 13 mini case,2,,,,,,,,in an amazonbasics small packing cube,
spare spigen iphone 13 mini screen protector,1,,,,,,,,in an amazonbasics small packing cube,
green rolex watch pouch,2,,,kmart box 2,,,,,in an amazonbasics small packing cube,
black tudor watch pouch,1,,,kmart box 2,,,,,in an amazonbasics small packing cube,
olight perun 2 mini flashlight headband,1,,,kmart box 2,,,,,in an amazonbasics small packing cube,
roost foldable laptop stand (cover/bag),1,,,kmart box 2,,,,,in an amazonbasics small packing cube,
peak design universal mount,1,,,kmart box 2,,,,,,
deskmat,2,,,kmart box 2,,,,,,
studio display thunderbolt cable,1,,,kmart box 2,,,,,,
iphone x,1,,,CAP2 Brown,,,,,,
muji pocket notebook thick,2,,,TB Ghost whale green,,,,,,
muji pocket notebook thin,1,,,TB Ghost whale green,,,,,,
spirax pocket notebook,2,,,TB Ghost whale green,,,,,,
thick post it notes,1,,,TB Ghost whale green,,,,,,
cailber pocket notebook,1,,,TB Ghost whale green,,,,,,
watch caseback removal tool,1,,,CAP2 Brown,,,,,,
truthear hexa case,1,,,CAP2 Brown,,,,,,
truthear gate case,1,,,CAP2 Brown,,,,,,
ipod classic,1,,,CAP2 Brown,,,,,,
apple 30pin usb a cable,1,,,CAP2 Brown,,,,,,
sansa clip zip orange mp3 player,1,,,CAP2 Brown,,,,,,
TI-84 Plus Calculator,1,,,kmart box 4,,,,,,
Logitech G Pro Superlight 2 mouse,1,,,CAP2 Orange,,,,,,
Powerbeats pro earphones,1,,,CAP2 Orange,,,,,,
aesop sanitiser,1,,,CAP2 Orange,,,,,,
small sticky notes,1,,,CAP2 Orange,,,,,,
large sticky notes,1,,,CAP2 Orange,,,,,,
burts bees lipbalm,1,,,CAP2 Orange,,,,,,
usb a to mini usb cable,1,,,in work computer/dock,,,,,,
nokia e72 charger (usb a to pin cable),1,,,CAP2 Black,,,,,,
usb c to micro usb cable,2,,,CAP2 Black,,,,,,
3.5mm extension cable,1,,,CAP2 Black,,,,,,
usb c to lightning cable,2,,,CAP2 Black,,,,,,
usb c to 3.5mm cable,1,,,CAP2 Black,,,,,,
anker usb c to hdmi adaptor,1,,,CAP2 Black,,,,,,
sim card removal tool,2,,,CAP2 Black,,,,,,
replacement mx master mouse slide pads,1,,,CAP2 Black,,,,,,
incharge xl converter heads,4,,,CAP2 Black,,,,,,
monash usb drive,1,,,CAP2 Black,,,,,,
4gb sandisk usb drive,1,,,CAP2 Black,,,,,,
TP-Link 300mbps usb wifi adaptor,1,,,CAP2 Black,,,,,,
mophie 20k mah battery,1,,,CAP2 Black,,,,,,
usb a to usb c cable (0.3m),1,,,CAP2 Black,,,,,,
usb a to usb c cable (0.5m),1,,,CAP2 Black,,,,,,
usb a to usb c cable (logitech g pro),1,,,CAP2 Black,,,,,,
usb a to mini usb cable (0.3m),1,,,CAP2 Black,,,,,,
yubikey,1,,,CAP2 Black,,,,,,
logitech g Pro Superlight 2 mouse -- usb transmitter,1,,,CAP2 Black,,,,,,
"logitech g Pro Superlight 2 mouse - misc accessories, incl grip tape",1,,,CAP2 Black,,,,,,
samsung t5 external ssd 1tb,1,,,CAP2 Black,,,,,,
usb drives,5,,,CAP2 Black,,,,,tom bihn mini ghost whale,
usb c to micro sd card adaptor,1,,,CAP2 Black,,,,,tom bihn mini ghost whale,
ledger nano s,1,,,CAP2 Black,,,,,tom bihn mini ghost whale,
micro sd cards,5,,,CAP2 Black,,,,,tom bihn mini ghost whale,
tom bihn mini ghost whale pouch (black),1,,,CAP2 Black,,,,,,
apple usb c male to usb a female adaptor,1,,,CAP2 Black,,,,,,
usb a to usb b cable (epson fastfoto scanner),1,,,CAP2 Black,,,,,,
usb a (3.0) to usb micro b cable (epson es300w scanner),1,,,CAP2 Black,,,,,,
tom bihn strap keepers,5,,,"on CAS2 Grey, on Synik22, CAP0.5 orange",,,,,,
apple watch straps,2,,,CAP0.5 Orange,,,,,,
tom bihn 'handle loop' strap,1,,,CAP0.5 Orange,,,,,,
micro fibre cloth,2,,,CAP0.5 Orange,,,,,,
zendure micro fibre pouch,1,,,CAP0.5 Orange,,,,,,
CR2032 battery,0,,,CAP0.5 Orange,,,,,,
CR2016 batteries,5,,,CAP0.5 Orange,,,,,,
spare AAA batteries,4,,,CAP0.5 Orange,,,,,,
spare AA batteries,0,,,CAP0.5 Orange,,,,,,
grand seiko loupe,1,,,CAP0.5 Orange,,,,,,
pokemon keycap,2,keyboards,keycaps,CAP0.5 Orange,,,,,,
bag of IEM eartips,4,,,CAP0.5 Orange,,,,,,
tom bihn Swivel Double Carabiner,8,,,CAP0.5 Orange,,,,,,
nite ize s biner,5,,,CAP0.5 Orange,,,,,,
3.5mm to quarter inch jack adaptor,1,,,CAP0.5 Orange,,,,,,
muji orange highlighter,1,,,CAP0.5 Black,,,,,,
orange sharpie,1,,,CAP0.5 Black,,,,,,
staedtler whiteboard marker (blue),1,,,CAP0.5 Black,,,,,,
Faber-Castell pen style eraser,1,,,CAP0.5 Black,,,,,,
rotring 600 3 in 1 pen/pencil,1,,,CAP0.5 Black,,,,,,
uni kuru toga pencil,1,,,CAP0.5 Black,,,,,,
rotring 600 green,1,,,CAP0.5 Black,,,,,,
rotring 800 black,1,,,CAP0.5 Black,,,,,,
mono zero pen style eraser,2,,,CAP0.5 Black,,,,,,
mono zero pen style eraser - replacement erasers,2,,,CAP0.5 Black,,,,,,
grand seiko pen,2,,,CAP0.5 Black,,,,,,
pentel 120 pencil,1,,,CAP0.5 Black,,,,,,
caran d'ache rolex pen,1,,,CAP0.5 Black,,,,,,
parker jotter pen,1,,,CAP0.5 Black,,,,gift from dan nickels,,
parker twist pen,1,,,CAP0.5 Black,,,,gift from grandma and grandpa (maybe for a birthday one year),,
spare mechanical pencil lead containers,5,,,CAP0.5 Black,,,,,,
pilot g2 0.38mm,1,,,CAP0.5 Black,,,,,,
pilot g2 mini (0.7mm),1,,,CAP0.5 Black,,,,,,
steadtler eraser,3,,,CAP0.5 Black,,,,,,
pilot g2 0.5mm,1,,,desk,,,,,,
asus rog ally x,1,,,,,,,,,
